year,housing_units,med_home_val,population,med_income,,
2000,742237,225000,1737081,53200,,
2001,750607,235000,1755690,54887,,
2002,758977,249000,1774300,55082,,
2003,767347,265000,1779300,56881,,
2004,775717,284950,1788300,55114,,
2005,784087,332000,1808300,58370,,
2006,792457,378500,1835300,63489,,
2007,800827,397000,1861300,67010,,
2008,809197,394900,1881212,70193,,
2009,817572,365000,1922645,67246,,
2010,851962,356000,1931249,68065,,
2011,857417,347000,1942600,70567,,
2012,862777,319000,1957000,71175,,
2013,873796,350000,1981900,71811,,
2014,885357,398000,2017250,73035,,
2015,899415,425000,2052800,75302,,
2016,917384,474000,2105100,78800,,
2017,934552,541000,2153700,83571,,
2018,952569,622000,2190200,95009,,
